variable,moy_traite,moy_temoin,sd_traite,var_ratio,smd,echantillon
age_fin_ctt_redresse,38.97714110507034,39.85291683433828,10.899411940577693,0.8412500002920588,-0.08035073213514352,Avant appariement
jours_cdi_m24,23.3724249008775,18.987902150305462,12.840613957581331,0.7624164186255648,0.34145740733707963,Avant appariement
jours_cdi_m23,23.57575207948663,19.17002188832298,12.628022724272805,0.743105604452928,0.3488851966266442,Avant appariement
jours_cdi_m22,23.83418157282828,19.325232113599125,12.430129356820206,0.7273731115114972,0.36274356684431214,Avant appariement
jours_cdi_m21,24.137802944836018,19.547690718419638,12.252936616516948,0.7102103924230745,0.3746132351838753,Avant appariement
jours_cdi_m20,24.381769440887442,19.69855503198574,12.039590156736182,0.6945550126171758,0.388984537507818,Avant appariement
jours_cdi_m19,24.702984376190287,19.95088463541336,11.852835155176487,0.6753992902490272,0.40092515238445237,Avant appariement
jours_cdi_m18,24.900162876493187,20.12738834626734,11.604430740607405,0.6550356521703146,0.411288984088161,Avant appariement
jours_cdi_m17,25.220456416934802,20.314575844944304,11.393447190922506,0.6380485201100005,0.4305879063448994,Avant appariement
jours_cdi_m16,25.46612785623338,20.527809177854266,11.135790794468516,0.6150740674715641,0.4434636721832209,Avant appariement
jours_cdi_m15,25.785619710594954,20.74450992595227,10.880583535845183,0.5941426920961143,0.46331244717116193,Avant appariement
jours_cdi_m14,26.07786874839028,20.968287333985327,10.576833982183237,0.567393495067715,0.4830917666867122,Avant appariement
jours_cdi_m13,26.362336715408695,21.156622170288614,10.220934791234363,0.5388515876996985,0.5093188295834336,Avant appariement
jours_cdi_m12,26.77620261980854,21.41611310801485,9.893735244334941,0.5103038955868902,0.541766014495165,Avant appariement
jours_cdi_m11,27.01057790321001,21.632631806231185,9.496739255345004,0.47754532931975446,0.5662939617881981,Avant appariement
jours_cdi_m10,27.297066409353246,21.821986968615448,9.103347008561935,0.4469631013445195,0.6014358713985464,Avant appariement
jours_cdi_m9,27.632885815960446,22.088495294222245,8.702841199834065,0.41455160548504194,0.6370782132441891,Avant appariement
jours_cdi_m8,27.899966989396702,22.276599392884812,8.266292559280025,0.38312434404404544,0.6802768661023139,Avant appariement
jours_cdi_m7,28.245820168390352,22.58215106753204,7.840627850316997,0.3500382385465002,0.722348925236814,Avant appariement
jours_cdi_m6,28.412414888870348,22.806364548537463,7.413091449221899,0.321222124710797,0.7562365011592179,Avant appariement
jours_cdi_m5,28.653345134926308,23.037760532432397,7.11774289440674,0.3022352650414497,0.7889558088571513,Avant appariement
jours_cdi_m4,28.724771374365634,23.241878670104445,6.945159912876923,0.29335568611760604,0.7894552138526625,Avant appariement
jours_cdi_m3,28.781364607554714,23.324859546399434,6.938435465758956,0.2941347140873721,0.7864172100588132,Avant appariement
jours_cdi_m2,28.744363711552623,23.18152066689529,7.001711491366781,0.295145474705465,0.7944976098367387,Avant appariement
jours_cdi_m1,28.633379161240473,22.51583622284599,7.127869588567173,0.28852627214992377,0.858256855345219,Avant appariement
jours_cdd_ventiles_m24,1.2355107030532995,1.1355827078014724,5.851636450831259,1.1038463050059828,0.01707693157144643,Avant appariement
jours_cdd_ventiles_m23,1.2400015961170825,1.1515268904610096,5.863277932605305,1.0900875760338729,0.015089631887322073,Avant appariement
jours_cdd_ventiles_m22,1.2447645545926456,1.1689867442283837,5.876748202646303,1.0809815986818587,0.012894513726169024,Avant appariement
jours_cdd_ventiles_m21,1.24806198738342,1.1909195212511483,5.892075762390516,1.062379866771172,0.009698189303168094,Avant appariement
jours_cdd_ventiles_m20,1.2547330312802674,1.1982861908814177,5.907884060608039,1.0608659409082812,0.009554493591913873,Avant appariement
jours_cdd_ventiles_m19,1.263025585031324,1.2133137735553494,5.9436438685839885,1.057390129980385,0.00836386105478722,Avant appariement
jours_cdd_ventiles_m18,1.2584331208804762,1.2188789961007456,5.9290557380054985,1.0461934649417852,0.006671235105142801,Avant appariement
jours_cdd_ventiles_m17,1.2596556014640747,1.2281466051930787,5.949814273055585,1.0404117388606937,0.0052957949315641855,Avant appariement
jours_cdd_ventiles_m16,1.2487874951481668,1.238315996257393,5.928753396234805,1.02435199490361,0.0017662227100597359,Avant appariement
jours_cdd_ventiles_m15,1.2278457135187488,1.253521395094814,5.8892243019174675,0.9952781211027769,-0.004359773080421734,Avant appariement
jours_cdd_ventiles_m14,1.209512132303596,1.2689469472775075,5.851169160148646,0.9680102895958015,-0.010157767336263706,Avant appariement
jours_cdd_ventiles_m13,1.1760988721981798,1.2769380903390786,5.767474345091541,0.9362692044471843,-0.01748412079660465,Avant appariement
jours_cdd_ventiles_m12,1.1458488259470596,1.2892603270970664,5.718229109788965,0.9067792324169979,-0.02507970534172939,Avant appariement
jours_cdd_ventiles_m11,1.103896339450573,1.289188353888035,5.61674747023556,0.8722616107608168,-0.0329892015653841,Avant appariement
jours_cdd_ventiles_m10,1.0674395742720437,1.3051727568702662,5.52328320796593,0.8357584138736851,-0.04304200484511692,Avant appariement
jours_cdd_ventiles_m9,1.0353757586090566,1.3240805422546242,5.448851790661359,0.7994802965889034,-0.052984517607979544,Avant appariement
jours_cdd_ventiles_m8,1.0014909184565548,1.3440361728881156,5.362286025670634,0.7655817451461115,-0.06388045188035646,Avant appariement
jours_cdd_ventiles_m7,0.9671308707181439,1.3688203591039758,5.291195206452272,0.7303195552790661,-0.07591658835342106,Avant appariement
jours_cdd_ventiles_m6,0.9257333976616885,1.384510518672814,5.170769003001134,0.6899680146158435,-0.0887251240086048,Avant appariement
jours_cdd_ventiles_m5,0.8921677809256754,1.4006663872412668,5.093779542403758,0.6599609157900822,-0.09982736827978829,Avant appariement
jours_cdd_ventiles_m4,0.868733880124352,1.4039475188294617,5.0286560767633075,0.6415106461537536,-0.10643273879441754,Avant appariement
jours_cdd_ventiles_m3,0.8549601152106331,1.36742746582331,4.995848309824259,0.6475678754006612,-0.10257864507313359,Avant appariement
jours_cdd_ventiles_m2,0.844175442287671,1.3035110224852773,4.9629021182851885,0.6685111192367701,-0.09255382621898628,Avant appariement
jours_cdd_ventiles_m1,0.8434680722170429,1.2170436792704458,4.948342525133366,0.7140348642714235,-0.07549509864281967,Avant appariement
jours_interim_m24,0.17514120194871385,0.28673914792187943,2.05273762642704,0.6264878959573646,-0.05436542134584002,Avant appariement
jours_interim_m23,0.16697561205648803,0.2820630061939297,1.997653513237841,0.5987741454183202,-0.05761128913237085,Avant appariement
jours_interim_m22,0.1614037124232322,0.2726451001062663,1.9632383522172507,0.6001847796192771,-0.05666219160673986,Avant appariement
jours_interim_m21,0.15516071810758555,0.2670925787154052,1.9260626059306416,0.5871857318413966,-0.05811434179925633,Avant appariement
jours_interim_m20,0.14786210999423222,0.2654647140758428,1.8822861031530134,0.5652213050216348,-0.062478601889805564,Avant appariement
jours_interim_m19,0.13956955624317569,0.26013446288934333,1.829508823135449,0.5440910627892692,-0.06590015042373017,Avant appariement
jours_interim_m18,0.12941244753671977,0.25448456598038094,1.7643939669719266,0.5167350067092886,-0.07088672982616881,Avant appariement
jours_interim_m17,0.12254914408221454,0.25528473871608265,1.7192012375007146,0.48691204586893805,-0.07720771235997492,Avant appariement
jours_interim_m16,0.11575839140418401,0.25060436326995456,1.6766364734006636,0.470265524345007,-0.08042648123493767,Avant appariement
jours_interim_m15,0.10966775371913418,0.24077155280081627,1.6242014208486906,0.460141063880663,-0.08071892894489448,Avant appariement
jours_interim_m14,0.09893749387852824,0.2356593381005,1.5439326979802532,0.42406257683829507,-0.08855427726922875,Avant appariement
jours_interim_m13,0.09249135738875246,0.23063814834101753,1.496513192605035,0.40439570883453924,-0.09231244444413345,Avant appariement
jours_interim_m12,0.0845978329083067,0.22499883572750096,1.4337755347751704,0.38080206161354807,-0.09792397722926027,Avant appariement
jours_interim_m11,0.07588811219252074,0.22022108476327165,1.3532950233160332,0.34424979996427696,-0.10665299885392766,Avant appariement
jours_interim_m10,0.0660574819802009,0.2232841798652831,1.2536799485630241,0.29319268005433924,-0.1254121500988322,Avant appariement
jours_interim_m9,0.05637195332083041,0.22880283151071765,1.1644557066519559,0.2448462678811441,-0.14807852046657974,Avant appariement
jours_interim_m8,0.04706731623795204,0.23553444341423968,1.0615110932434382,0.1973666662414825,-0.17754607405978953,Avant appariement
jours_interim_m7,0.041669538468235456,0.23885791218421754,1.015947147413026,0.17644665527285647,-0.19409314177228215,Avant appariement
jours_interim_m6,0.035081927964334035,0.24875634528511975,0.9247515090670771,0.13940344683304307,-0.23106144215579405,Avant appariement
jours_interim_m5,0.02621259554030377,0.2560827945926951,0.8103062977748927,0.10284090399742571,-0.2836830957424577,Avant appariement
jours_interim_m4,0.021391596443560937,0.25406754473981685,0.7492247633180346,0.08787805172781414,-0.31055560318885045,Avant appariement
jours_interim_m3,0.02034686526232547,0.2547872768301305,0.728366761549232,0.08154471794964584,-0.32187137571894636,Avant appariement
jours_interim_m2,0.019875285215240016,0.25081181546069203,0.7172332406229177,0.0802641129488294,-0.3219824698097978,Avant appariement
jours_interim_m1,0.023372232641319844,0.260130229171165,0.7554581361414182,0.08775927503694408,-0.3133965804367552,Avant appariement
jours_autre_m24,0.09537525075362119,0.07613918771883031,1.6782360736809239,1.2527217085573674,0.011462072193812317,Avant appariement
jours_autre_m23,0.09484200254653226,0.07489235771531633,1.6737741138219704,1.2672481437850232,0.011918958876512927,Avant appariement
jours_autre_m22,0.09219027166638251,0.07512309535603454,1.6533723167612822,1.2300783415125651,0.010322645502968205,Avant appariement
jours_autre_m21,0.09176947716282934,0.07488600713804885,1.6493164339508588,1.2318882851338226,0.010236646938839343,Avant appariement
jours_autre_m20,0.09033297178863056,0.07417474248409181,1.6327730735084618,1.2194690165092104,0.009896188004753382,Avant appariement
jours_autre_m19,0.0900391411439081,0.07375560438443854,1.6369020263354417,1.2279876999326287,0.009947777263080167,Avant appariement
jours_autre_m18,0.09047444580275621,0.07468913924275716,1.6333438965855809,1.2075268857200916,0.009664410901462573,Avant appariement
jours_autre_m17,0.09035110948274924,0.07473359328362948,1.638603651969394,1.2193613864209518,0.009530990719048798,Avant appariement
jours_autre_m16,0.08843576898381755,0.07560785608745169,1.6234692466647132,1.1761334417814326,0.007901543514125557,Avant appariement
jours_autre_m15,0.08572962502131179,0.07714892950435862,1.5970440701278559,1.1137172942950728,0.0053728608229741725,Avant appariement
jours_autre_m14,0.08242130961406614,0.07670015537745714,1.5717460906757916,1.084438130012008,0.003639999024364757,Avant appariement
jours_autre_m13,0.0795265336327262,0.07709812488621882,1.5381348163900856,1.0359953662152923,0.0015788009741608431,Avant appariement
jours_autre_m12,0.07622547330312802,0.07659431242299924,1.5113887226205334,1.0061810174511894,-2.4403987825958183e-4,Avant appariement
jours_autre_m11,0.0719449774911216,0.07418744363862675,1.4665845714046868,0.9737587315148911,-0.001529039778017941,Avant appariement
jours_autre_m10,0.0693404046156804,0.07029877349184374,1.4445755297208545,0.9980509550818984,-6.634259382398163e-4,Avant appariement
jours_autre_m9,0.06795468478501392,0.06669376246300789,1.4285082621567127,1.0265997557499595,8.826846546216915e-4,Avant appariement
jours_autre_m8,0.06466450707188694,0.0638995084653195,1.3932520511291022,1.01877005573249,5.49074093196186e-4,Avant appariement
jours_autre_m7,0.0639716471565537,0.06007857780938954,1.3909975022996428,1.081230238830846,0.002798760846606842,Avant appariement
jours_autre_m6,0.061998266036442255,0.057866460061219566,1.3654701432314162,1.08078795812962,0.0030259218743843613,Avant appariement
