"sujet_id","sujet","auteur","date","message","url"
2781,"Prud'hommes harcèlement au travail","Nadegexxxx","2026-05-31T19:24:10.951Z","Bonjoiur je me permets de vous écrire car je traverse une situation similaire au travail (8 mois d’ancienneté, harcèlement rétrogradation abusive suite à refus de RC, arrêt maladie…) j’aimerais vous demander ou est ce que vous en êtes dans vos démarches quelques mois après ? merci :à","https://forum.juritravail.com/t/prudhommes-harcelement-au-travail/2781"
3592,"Entrée en vigueur nouvelle loi rupture conventionnelle","T59","2026-05-27T09:42:18.313Z","Les nouvelles règles qui s’appliqueront pour les ruptures conventionnelles vont-elle impacter ceux qui sont actuellement dans ce dispositif ? Vont-elles au contraire s’appliquer seulement à ceux qui signent une rupture conventionnelle à partir du mois de Septembre ? Merci par avance pour vos informations.","https://forum.juritravail.com/t/entree-en-vigueur-nouvelle-loi-rupture-conventionnelle/3592"
3592,"Entrée en vigueur nouvelle loi rupture conventionnelle","milou27","2026-05-27T09:53:29.889Z","Bonjour Les nouvelles règles s’appliqueront aux RC conclues après la parution de la nouvelle loi (pas d’effet rétroactif)","https://forum.juritravail.com/t/entree-en-vigueur-nouvelle-loi-rupture-conventionnelle/3592"
3582,"Démission présumée après congé maternité","Iris","2026-05-26T08:47:43.951Z","Bonjour je suis hôtesse d’accueil et voici ma situation:Le 29 janvier 2026 — J’ai envoyé une demande de rupture conventionnelle à mon employeur avant la fin de mon congé mat, en raison de l’absence de solution de garde pour mon bébé de 4 mois et de l’hospitalisation de mon mari. Le 3 et 23 mars 2026 — Deux relances envoyées, toutes restées sans réponse. Le 2 avril 2026 — Mon employeur m’envoie une mise en demeure de reprendre mon poste ou de justifier mon absence, ignorant totalement ma demande. Avant le 20 avril 2026 — J’ai répondu en expliquant mes motifs légitimes (hospitalisation du mari, absence de garde). 11 mai 2026 — Mon employeur prononce une démission présumée avec un préavis jusqu’au 19 mai. Le même jour, j’ai contesté cette décision par écrit, en rappelant mes motifs légitimes, ma demande ignorée et ma protection légale post-maternité. Le 19 mai 2026 — Fin du contrat. Aucun document de fin de contrat reçu (certificat de travail, attestation France Travail, solde de tout compte). Depuis le 19 mai plusieurs mails envoyés sans aucune réponse. Nous sommes aujourd’hui au 6ème jour de retard. Mes questions : Ma demande ignorée peut-elle être un argument juridique ?Puis-je contester la décision compte tenu de mes motifs légitimes et de ma protection post-maternité ?Quels recours ai-je pour obtenir mes documents de fin de contrat? Merci d’avance pour vos conseils","https://forum.juritravail.com/t/demission-presumee-apres-conge-maternite/3582"
3582,"Démission présumée après congé maternité","amatjuris","2026-05-26T10:27:50.478Z","bonjour, aviez-vous eu avec votre employeur des entretiens préalables à votre demande de rupture conventionnelle comme l’indique, l’article L1237-12 du code du travail ? Salutations","https://forum.juritravail.com/t/demission-presumee-apres-conge-maternite/3582"
3582,"Démission présumée après congé maternité","Math64","2026-05-26T11:44:15.338Z","Bonjour, À quelle date deviez-vous répondre? Avez-vous repris à cette date ?","https://forum.juritravail.com/t/demission-presumee-apres-conge-maternite/3582"
3582,"Démission présumée après congé maternité","Iris","2026-05-26T12:23:57.478Z","Non je n’ai pas pu avoir d’entretien avec mon employeur.","https://forum.juritravail.com/t/demission-presumee-apres-conge-maternite/3582"
3582,"Démission présumée après congé maternité","Iris","2026-05-26T12:24:59.693Z","Le 07 Février et je n’ai pas repris j’ai eu un arrêt maladie.","https://forum.juritravail.com/t/demission-presumee-apres-conge-maternite/3582"
3582,"Démission présumée après congé maternité","preventeure","2026-05-26T13:26:49.122Z","L’ employeur n’a aucune obligation a répondre à une demande de RC Iris: J’ai envoyé une demande de rupture conventionnelle à mon employeur avant la fin de mon congé mat, en raison de l’absence de solution de garde pour mon bébé de 4 mois et de l’hospitalisation de mon mari.","https://forum.juritravail.com/t/demission-presumee-apres-conge-maternite/3582"
3582,"Démission présumée après congé maternité","Isadore","2026-05-26T15:03:04.901Z","Bonjour, Si vous avez abandonné votre poste, il ne servait à rien de simplement contester la démission présumée par courrier. Il fallait reprendre votre poste ou justifier d’un cas de force majeure. L’absence de solution de garde pour votre enfant n’est pas un motif justifiant un abandon de poste car vous avez eu plusieurs semaines pour trouver quelque chose. La protection concerne le licenciement, pas la démission . Voyez un avocat pour voir s’il est envisageable de faire requalifier la démission en licenciement, mais je suis peu optimiste. Notez que même si l’on considère que l’absence de solution de garde pour votre bébé est un motif légitime il ne suffit pas de l’affirmer dans une lettre. Il faut justifier de vos recherche actives d’une place en crèche, chez un assistant maternel ou d’un garde d’enfant à domicile. Je suppose que vous n’aviez joint aucun justificatif à votre lettre, mais a minima pouvez-vous prouver vos démarches : petites annonces pour embaucher une personne à domicile, demande de place en crèche et sollication d’assistants maternels ?","https://forum.juritravail.com/t/demission-presumee-apres-conge-maternite/3582"
