variable,moy_traite,moy_temoin,sd_traite,var_ratio,smd,echantillon
age_fin_ctt_redresse,39.140857692986785,39.856902785836645,11.021150090325243,0.831357764994232,-0.0649700881470102,Avant appariement
jours_cdi_m9,7.387946138389101,5.518328779360543,12.951098965232466,1.241085034486292,0.14435974615340297,Avant appariement
jours_cdi_m8,9.453217541648382,7.257856913685615,13.918440043234018,1.1801785697283116,0.15773036497936907,Avant appariement
jours_cdi_m7,12.093211866448017,9.048459443080233,14.829260997199597,1.1523526444034629,0.20532057692846356,Avant appariement
jours_cdi_m6,14.447182691958703,10.96745464725409,15.044912039937424,1.0799840712967652,0.23128935785516805,Avant appariement
jours_cdi_m5,17.049044289659587,12.84302738884357,15.053267985326581,1.0155046459829966,0.27940889014371506,Avant appariement
jours_cdi_m4,19.165356201311234,14.490969293711323,14.663810351097197,0.9395068508744205,0.31877027837107536,Avant appariement
jours_cdi_m3,21.187463086451118,15.980873314278645,13.952023504380122,0.8536839163140982,0.373178110726226,Avant appariement
jours_cdi_m2,23.42557403661824,17.43205423666259,12.833085067190337,0.7316895804581272,0.46703655189498905,Avant appariement
jours_cdi_m1,24.73426534201331,17.991056318978007,11.796069285157,0.6275031250319917,0.5716488145352185,Avant appariement
jours_cdi_m10,4.930218132265164,3.5478397812415463,10.955233833433649,1.3088844120467529,0.1261842852504724,Avant appariement
jours_cdi_m11,2.946042702583206,1.9368594992796824,9.07505829293988,1.4684678814271108,0.1112040463793646,Avant appariement
jours_cdd_ventiles_m9,0.11930788951836686,0.4123131315884942,1.8557830253076297,0.28909707230425075,-0.15788766147462546,Avant appariement
jours_cdd_ventiles_m8,0.1416490416500315,0.5615100875914552,2.020792077001835,0.25382185718040906,-0.20777053251532637,Avant appariement
jours_cdd_ventiles_m7,0.17794392770058698,0.6872500644825771,2.273909411951753,0.26226859306987627,-0.2239781998812521,Avant appariement
jours_cdd_ventiles_m6,0.19785002293176893,0.8175321311963563,2.3912033740974903,0.24440440785295334,-0.259150733466355,Avant appariement
